제작자,차명,생산기간(from),생산기간(to),리콜개시일,리콜사유
비엠더블유코리아(주),BMW X3 xDrive35d,2012-05-04,2012-09-26,2019-06-28,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW X4 xDrive20d,2014-05-27,2016-09-15,2019-06-28,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW X4 xDrive30d,2014-06-14,2015-05-19,2019-06-28,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW X5 xDrive30d,2013-07-24,2015-06-14,2019-06-28,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW X5 xDrive40d,2014-01-21,2015-06-10,2019-06-28,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW X6 xDrive30d,2014-07-17,2015-06-16,2019-06-28,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
비엠더블유코리아(주),BMW X6 xDrive40d,2014-11-26,2015-06-08,2019-06-28,"배기가스 재순환 장치 냉각기 결함으로 냉각수가 누출될 수 있고, 그 결과 배기가스 재순환 장치 냉각기를 통과하는 배출가스와 만나면, 냉각수 중 수분은 증발하고 글리콜만 남게 됩니다. 글리콜은 WAVE FIN 구조의 내부, 배기가스 재순환 장치 냉각기의 입구 근처, 그리고 배기가스 재순환 장치 냉각기 끝 단에서 배기가스 재순환장치 냉각기 내의 그을음과 혼합될 수 있습니다. 그 곳에서는 혼합물을 발화시키거나 글로잉 입자(열점)를 발생시킬 수 있는 고온 상태가 발생 할 수 있습니다. 이러한 과정에 의하여 글로잉 입자가 흡기다기관 안으로 날아가 흡기다기관 표면에 붙게 되고 해당 영역이 용융하여 천공이 생길 가능성이 있습니다."
한국지엠주식회사,카마로,2016-08-03,2017-05-19,2019-06-28,전동식 조향장치 내 토크 센서 커넥터의 간헐적인 접촉 불량으로 인해 구동모터의 기능이 상실될 가능성이 있음.
한국닛산(주),무라노,2008-05-08,2014-02-10,2019-07-08,특정 ABS 액츄에이터 내 NC 밸브 표면의 아연 도금 코팅이 알려지지 않은 DOT3 브레이크 액으로 인해 NC 밸브가 부식되어 밸브 주변에 젤이 형성될 수 있습니다. 어떤 경우에는 NC 밸브가 열린 상태로 고착될 수 있습니다.
한불모터스(주),Citroen C4 Cactus 1.5 BlueHDi,2019-02-01,2019-02-12,2019-06-18,차량 생산과정 뒷문 창유리와 연결된 힌지의 고정 핀에 제조공정상 오염으로 인하여 고정 핀 접착 상태가 불량하여 주행 중 뒷문 창유리가 분리 될 수 있는 위험성이 있음.
한불모터스(주),Peugeot 2008 1.5 BlueHDi,2019-03-16,2019-03-16,2019-06-18,차량 생산과정 중 리어 액슬(후륜 차축)과 차체와 연결된 볼트가 기준에 맞지 않는 열처리로 인해 볼트의 강도가 충분하지 않아 파손이 될 가능성이 있음.
한불모터스(주),Citroen C4 Cactus 1.5 BlueHDi,2019-03-20,2019-03-21,2019-06-18,차량 생산과정 중 리어 액슬(후륜 차축)과 차체와 연결된 볼트가 기준에 맞지 않는 열처리로 인해 볼트의 강도가 충분하지 않아 파손이 될 가능성이 있음.
한불모터스(주),Citroen C3 Aircross 1.5 BlueHDi,2019-03-21,2019-03-21,2019-06-18,차량 생산과정 중 리어 액슬(후륜 차축)과 차체와 연결된 볼트가 기준에 맞지 않는 열처리로 인해 볼트의 강도가 충분하지 않아 파손이 될 가능성이 있음.
한불모터스(주),Peugeot 508 1.5 BlueHDi,2019-03-25,2019-03-28,2019-06-18,프론트 와이퍼 메커니즘 그릴 로드의 고정이 불안정함.
한불모터스(주),Peugeot 508 2.0 BlueHDi,2019-03-25,2019-04-03,2019-06-18,프론트 와이퍼 메커니즘 그릴 로드의 고정이 불안정함.
한불모터스(주),Peugeot 508 1.5 BlueHDi,2018-11-17,2019-05-15,2019-06-18,차량 리어 램프 ECU에 방향지시등을 작동하게 하는 소프트웨어와 LED 출력을 제어하는 별도의 소프트웨어간의 충돌로 인해서 오류가 발생.
한불모터스(주),Peugeot 508SW 1.5 BlueHDi,2019-03-08,2019-03-08,2019-06-18,차량 리어 램프 ECU에 방향지시등을 작동하게 하는 소프트웨어와 LED 출력을 제어하는 별도의 소프트웨어간의 충돌로 인해서 오류가 발생.
한불모터스(주),Peugeot 508 2.0 BlueHDi,2018-11-13,2019-05-18,2019-06-18,차량 리어 램프 ECU에 방향지시등을 작동하게 하는 소프트웨어와 LED 출력을 제어하는 별도의 소프트웨어간의 충돌로 인해서 오류가 발생.
한불모터스(주),Peugeot 508SW 2.0 BlueHDi,2019-03-05,2019-05-21,2019-06-18,차량 리어 램프 ECU에 방향지시등을 작동하게 하는 소프트웨어와 LED 출력을 제어하는 별도의 소프트웨어간의 충돌로 인해서 오류가 발생.
한불모터스(주),Peugeot 508 GT 2.0 BlueHDi,2019-01-07,2019-04-26,2019-06-18,차량 리어 램프 ECU에 방향지시등을 작동하게 하는 소프트웨어와 LED 출력을 제어하는 별도의 소프트웨어간의 충돌로 인해서 오류가 발생.
혼다코리아(주),CR-V,2018-11-30,2019-03-08,2019-07-03,1. 스티어링 휠 생산 시 금속 가공 면의 마감 처리가 충분하지 못 하여 날카로운 부분이 발생될 수 있음 2. SRS 에어백 관련 하네스 설치 방향이 잘못되어 스티어링 휠 안쪽 금속 가공 면에 눌릴 수 있음
비엠더블유코리아(주),X7 M50d,2018-12-15,2019-03-30,2019-06-21,차량 생산과정에서의 오류로 인하여 에어백 장착 상태가 정상적인 위치가 아닌 꼬인 상태로 장착된 것이 확인되었습니다.
비엠더블유코리아(주),X7 xDrive40i,2019-04-02,2019-04-02,2019-06-21,차량 생산과정에서의 오류로 인하여 에어백 장착 상태가 정상적인 위치가 아닌 꼬인 상태로 장착된 것이 확인되었습니다.
비엠더블유코리아(주),X7 xDrive30d,2018-12-21,2019-04-02,2019-06-21,차량 생산과정에서의 오류로 인하여 에어백 장착 상태가 정상적인 위치가 아닌 꼬인 상태로 장착된 것이 확인되었습니다.
비엠더블유코리아(주),S1000RR,2019-02-19,2019-03-13,2019-06-25,부품 제작상 오류로 엔진 오일 냉각기 호스 클램프가 부분적으로 올바르게 압축되지 않았을 가능성이 있습니다.
혼다코리아(주),CBF300NA,2018-06-02,2018-06-02,2019-06-25,변속기의 주축(메인샤프트) 가공 과정에서 5단 기어의 서클립 장착 홈이 잘못 가공되었다. 그로 인해 서클립이 홈에서 이탈하면 5단 기어가 이동하여 4단 기어와 간섭한다. (서클립은 기어의 축방향 이동을 방지하기 위한 부품임.)
혼다코리아(주),CRF250RLA,2018-06-05,2018-07-04,2019-06-25,변속기의 주축(메인샤프트) 가공 과정에서 5단 기어의 서클립 장착 홈이 잘못 가공되었다. 그로 인해 서클립이 홈에서 이탈하면 5단 기어가 이동하여 4단 기어와 간섭한다. (서클립은 기어의 축방향 이동을 방지하기 위한 부품임.)
(주)재규어랜드로버코리아,재규어 I-PACE,2018-01-08,2019-04-04,2019-06-19,주제동장치의 일부로 작동되는 전기회생제동장치는 해당 안전기준에 따라 전기회생제동력이 해제되는 경우(예-전기회생제동장치 고장시) 마찰제동력이 작동하여 1초 내에 해제 당시 요구제동력의 75% 이상 도달 하여야 함. 본 결함의 경우 제동제어모듈 소프트웨어 오류로 인해 약1.4초 소요되어 안전기준 부적합.
(주)재규어랜드로버코리아,레인지로버 이보크,2018-10-18,2019-03-04,2019-06-19,연료레벨센서 어셈블리를 브라켓에 조립하는 과정에서 고정용 클립의 장착이 불량하거나 이탈 되어 고정이 불량할 수 있는 가능성.
지엠아시아퍼시픽지역본부 주식회사,캐딜락 ATS,2016-07-24,2017-05-30,2019-07-12,"전동식 조향장치 내 토크 센서 커넥터 핀이, 해당 납품업체(보쉬)에서 PCB(회로기판)에 조립될 때 잘못된 방향으로 조립되어, 차량의 진동 등에 의해 커넥터 핀이 휘어져 접촉 불량이 발생될 수 있으며, 이 경우 운전자의 조향핸들 회전력을 토크 센서가 감지하지 못하여 전동식 조향장치 내 구동모터를 작동시키지 못하게 되고, 결과적으로 운전자가 저속 주행 중에 조향 시 조향 핸들이 무거워질 수 있음."
지엠아시아퍼시픽지역본부 주식회사,캐딜락 CTS,2016-07-01,2017-05-24,2019-07-12,"전동식 조향장치 내 토크 센서 커넥터 핀이, 해당 납품업체(보쉬)에서 PCB(회로기판)에 조립될 때 잘못된 방향으로 조립되어, 차량의 진동 등에 의해 커넥터 핀이 휘어져 접촉 불량이 발생될 수 있으며, 이 경우 운전자의 조향핸들 회전력을 토크 센서가 감지하지 못하여 전동식 조향장치 내 구동모터를 작동시키지 못하게 되고, 결과적으로 운전자가 저속 주행 중에 조향 시 조향 핸들이 무거워질 수 있음."
포드세일즈서비스코리아(유),2014MY Explorer,2014-02-04,2014-04-07,2019-07-12,토우 링크의 내구성 문제로 험한 도로에서 잦은 극심한 진동 (Full jounce) 및 튀어오르는 증상(Full rebound)으로 리어 서스펜션 토우 링크에 가해지는 힘(굽힘 응력)이 증가하면 파손될 수 있음
포드세일즈서비스코리아(유),2016-2017년식 Mondeo,2016-06-01,2017-05-17,2019-07-19,리어 테일 램프는 해당 부품을 제작하는 업체에서 개별 테일 램프의 측정시 오류로 인하여 「자동차 및 자동차부품의 성능과 기준에 관한 규칙」 제 42조에 상응하는 UN R7(Rear Position Lamp)에서 정하는 기준 부적함으로 확인됨
한국쓰리축공업(주),한쓰4.5톤극플러스트럭,2018-11-19,2018-11-19,2019-01-15,에어게이지내의 LED전구와 소켓 결합 부위가 이상 현상으로 과열되어 발화된 것으로 추정되며 LED PCB 등 LED전구 구성부품의 조립 불량에 따른 것으로 판단됨
한국쓰리축공업(주),한쓰4.5톤극플러스트럭,2018-11-27,2018-12-24,2019-01-15,에어게이지내의 LED전구와 소켓 결합 부위가 이상 현상으로 과열되어 발화된 것으로 추정되며 LED PCB 등 LED전구 구성부품의 조립 불량에 따른 것으로 판단됨
한국쓰리축공업(주),한쓰4.5톤극플러스트럭,2018-12-18,2018-12-18,2019-01-15,에어게이지내의 LED전구와 소켓 결합 부위가 이상 현상으로 과열되어 발화된 것으로 추정되며 LED PCB 등 LED전구 구성부품의 조립 불량에 따른 것으로 판단됨
한국쓰리축공업(주),한쓰6.5톤극플러스트럭,2018-12-26,2018-12-26,2019-01-15,에어게이지내의 LED전구와 소켓 결합 부위가 이상 현상으로 과열되어 발화된 것으로 추정되며 LED PCB 등 LED전구 구성부품의 조립 불량에 따른 것으로 판단됨
포드세일즈서비스코리아(유),2017-2019년식 Continental,2016-06-29,2018-11-13,2019-07-19,승하차 도어의 전자식 도어래치 폴 모터 내부 회로기판(PCB)에 절연 코팅을 위해 사용한 휘발성 이산화규소(SiO2)의 증발가스가 모터의 브러시와 정류자 사이에 접촉하여 정류자 표면을 오염시킬 수 있음
(주)에프엠케이,페라리 488 GTB,2015-10-27,2017-10-04,2019-09-02,"에어백 컨트롤 유닛의 제조불량으로 인해 에어백 컨트롤 유닛 내의 전원공급장치에 고장이 발생할 수 있고, 이로 인해 컨트롤 유닛에 손상이 발생한다면, 에어백과 시트벨트 프리텐셔너가 비활성화 되어 에어백 경고등이 점등될 수 있으며, 에어백과 시트벨트 프리텐셔너가 정상적으로 작동하지 않아 충돌사고 시 탑승자에게 상해를 입힐 가능성이 있음."
(주)에프엠케이,페라리 488 Spider,2017-07-03,2018-01-25,2019-09-02,"에어백 컨트롤 유닛의 제조불량으로 인해 에어백 컨트롤 유닛 내의 전원공급장치에 고장이 발생할 수 있고, 이로 인해 컨트롤 유닛에 손상이 발생한다면, 에어백과 시트벨트 프리텐셔너가 비활성화 되어 에어백 경고등이 점등될 수 있으며, 에어백과 시트벨트 프리텐셔너가 정상적으로 작동하지 않아 충돌사고 시 탑승자에게 상해를 입힐 가능성이 있음."
(주)에프엠케이,페라리 캘리포니아 T,2015-08-25,2017-09-26,2019-09-02,"에어백 컨트롤 유닛의 제조불량으로 인해 에어백 컨트롤 유닛 내의 전원공급장치에 고장이 발생할 수 있고, 이로 인해 컨트롤 유닛에 손상이 발생한다면, 에어백과 시트벨트 프리텐셔너가 비활성화 되어 에어백 경고등이 점등될 수 있으며, 에어백과 시트벨트 프리텐셔너가 정상적으로 작동하지 않아 충돌사고 시 탑승자에게 상해를 입힐 가능성이 있음."
(주)에프엠케이,페라리 F12 Berlinetta,2015-09-29,2016-01-18,2019-09-02,"에어백 컨트롤 유닛의 제조불량으로 인해 에어백 컨트롤 유닛 내의 전원공급장치에 고장이 발생할 수 있고, 이로 인해 컨트롤 유닛에 손상이 발생한다면, 에어백과 시트벨트 프리텐셔너가 비활성화 되어 에어백 경고등이 점등될 수 있으며, 에어백과 시트벨트 프리텐셔너가 정상적으로 작동하지 않아 충돌사고 시 탑승자에게 상해를 입힐 가능성이 있음."
(주)에프엠케이,페라리 F12 tdf,2016-03-10,2016-03-23,2019-09-02,"에어백 컨트롤 유닛의 제조불량으로 인해 에어백 컨트롤 유닛 내의 전원공급장치에 고장이 발생할 수 있고, 이로 인해 컨트롤 유닛에 손상이 발생한다면, 에어백과 시트벨트 프리텐셔너가 비활성화 되어 에어백 경고등이 점등될 수 있으며, 에어백과 시트벨트 프리텐셔너가 정상적으로 작동하지 않아 충돌사고 시 탑승자에게 상해를 입힐 가능성이 있음."
(주)에프엠케이,그란카브리오 Sport,2015-12-16,2015-12-16,2019-07-16,부품 공급 업체(ZF Friedrichshafen AG)는 제조 공정상의 오류로 에어백 제어 모듈 내부 회로판의 축전기 에 불충분한 양의 은(Silver) 납땜으로 인한 에어백 오작동 가능성을 확인함.
(주)에프엠케이,그란투리스모 Sport,2015-12-10,2018-07-19,2019-07-16,부품 공급 업체(ZF Friedrichshafen AG)는 제조 공정상의 오류로 에어백 제어 모듈 내부 회로판의 축전기 에 불충분한 양의 은(Silver) 납땜으로 인한 에어백 오작동 가능성을 확인함.
(주)에프엠케이,그란투리스모 MC,2016-01-27,2017-12-21,2019-07-16,부품 공급 업체(ZF Friedrichshafen AG)는 제조 공정상의 오류로 에어백 제어 모듈 내부 회로판의 축전기 에 불충분한 양의 은(Silver) 납땜으로 인한 에어백 오작동 가능성을 확인함.
포르쉐코리아 주식회사,파나메라,2008-08-20,2016-09-13,2019-08-19,변속 레버 케이블의 플라스틱 부싱이 충분한 내구성을 가지고 있지 않아 크랙이 발생하여 변속레버 케이블이 기어박스와 분리되는 경우가 발견 되었습니다.
포르쉐코리아 주식회사,카이엔,2002-07-23,2010-02-05,2019-08-19,변속 레버 케이블의 플라스틱 부싱이 충분한 내구성을 가지고 있지 않아 크랙이 발생하여 변속레버 케이블이 기어박스와 분리되는 경우가 발견 되었습니다.
(주) 한국모터트레이딩,CZD300-XMAX,2019-02-27,2019-05-06,2019-07-09,레버 생산 라인 과정에서 설정한 값보다 낮은 압력과 온도에서 형성되면서 다공성이 증가하여 강성이 부족하게 만들어졌습니다.
비엠더블유코리아(주),M3,2008-06-11,2008-06-11,2019-07-19,차량의 진동과 전기장치 사용에 따른 높은 부하로 인하여 단자의 주석 코팅이 마모될 가능성이 있습니다.
비엠더블유코리아(주),M3,2008-01-26,2008-07-30,2019-07-19,차량의 진동과 전기장치 사용에 따른 높은 부하로 인하여 단자의 주석 코팅이 마모될 가능성이 있습니다.
비엠더블유코리아(주),M3,2007-06-12,2009-10-30,2019-07-19,차량의 진동과 전기장치 사용에 따른 높은 부하로 인하여 단자의 주석 코팅이 마모될 가능성이 있습니다.
비엠더블유코리아(주),M3,2007-11-20,2009-01-13,2019-07-19,차량의 진동과 전기장치 사용에 따른 높은 부하로 인하여 단자의 주석 코팅이 마모될 가능성이 있습니다.
비엠더블유코리아(주),M3,2009-09-09,2009-10-06,2019-07-19,차량의 진동과 전기장치 사용에 따른 높은 부하로 인하여 단자의 주석 코팅이 마모될 가능성이 있습니다.
비엠더블유코리아(주),M3,2008-06-02,2008-11-12,2019-07-19,차량의 진동과 전기장치 사용에 따른 높은 부하로 인하여 단자의 주석 코팅이 마모될 가능성이 있습니다.
비엠더블유코리아(주),M3,2009-09-24,2009-09-24,2019-07-19,차량의 진동과 전기장치 사용에 따른 높은 부하로 인하여 단자의 주석 코팅이 마모될 가능성이 있습니다.
비엠더블유코리아(주),BMW 535i,2009-12-15,2011-05-23,2019-07-19,연료펌프 조립 오류 가능성(연료펌프 커넥터 핀과 배선간의 클램핑 미비)
비엠더블유코리아(주),BMW 535i GT,2010-02-17,2011-02-28,2019-07-19,연료펌프 조립 오류 가능성(연료펌프 커넥터 핀과 배선간의 클램핑 미비)
비엠더블유코리아(주),BMW 535i xDrive,2011-06-07,2011-06-07,2019-07-19,연료펌프 조립 오류 가능성(연료펌프 커넥터 핀과 배선간의 클램핑 미비)
비엠더블유코리아(주),BMW 535i xDrive GT,2010-09-06,2011-06-10,2019-07-19,연료펌프 조립 오류 가능성(연료펌프 커넥터 핀과 배선간의 클램핑 미비)
메르세데스벤츠코리아(주),GLE 300 d 4MATIC,2018-07-12,2018-07-12,2019-07-17,"생산 공정 상의 오류로 용접 로봇에 잘못된 출력값(용접 전류, 각도, 접촉 압력)이 입력되어, 조수석 바닥의 용접 스터드가 제대로 용접되지 않았을 수 있습니다. 결과적으로 조수석 바닥에 작은 구멍이 생겼을 수 있습니다."
메르세데스벤츠코리아(주),GLE 400 d 4MATIC,2018-07-11,2018-07-29,2019-07-17,"생산 공정 상의 오류로 용접 로봇에 잘못된 출력값(용접 전류, 각도, 접촉 압력)이 입력되어, 조수석 바닥의 용접 스터드가 제대로 용접되지 않았을 수 있습니다. 결과적으로 조수석 바닥에 작은 구멍이 생겼을 수 있습니다."
메르세데스벤츠코리아(주),GLE 450 4MATIC,2018-09-18,2018-09-18,2019-07-17,"생산 공정 상의 오류로 용접 로봇에 잘못된 출력값(용접 전류, 각도, 접촉 압력)이 입력되어, 조수석 바닥의 용접 스터드가 제대로 용접되지 않았을 수 있습니다. 결과적으로 조수석 바닥에 작은 구멍이 생겼을 수 있습니다."
메르세데스벤츠코리아(주),GLE 400 d 4MATIC,2018-07-11,2018-07-29,2019-07-17,"조수석의 온도가 극단적으로 높으면(85°C 이상의 고온), 에어백 가스 발생기의 압력이 빠르게 높아질 수 있습니다. 이는 에어백 전개 양상 및 속도에 영향을 줄 수 있습니다. 만일 에어백 쿠션이 올바르지 않은 방법으로 접혀있는 경우, 에어백이 불완전하게 전개될 수 있습니다."
메르세데스벤츠코리아(주),GLE 450 4MATIC,2018-09-10,2018-09-18,2019-07-17,"조수석의 온도가 극단적으로 높으면(85°C 이상의 고온), 에어백 가스 발생기의 압력이 빠르게 높아질 수 있습니다. 이는 에어백 전개 양상 및 속도에 영향을 줄 수 있습니다. 만일 에어백 쿠션이 올바르지 않은 방법으로 접혀있는 경우, 에어백이 불완전하게 전개될 수 있습니다."
메르세데스벤츠코리아(주),GLE 300 d 4MATIC,2018-07-12,2018-07-12,2019-07-17,"조수석의 온도가 극단적으로 높으면(85°C 이상의 고온), 에어백 가스 발생기의 압력이 빠르게 높아질 수 있습니다. 이는 에어백 전개 양상 및 속도에 영향을 줄 수 있습니다. 만일 에어백 쿠션이 올바르지 않은 방법으로 접혀있는 경우, 에어백이 불완전하게 전개될 수 있습니다."
한국토요타자동차(주),토요타 프리우스 C,2018-02-06,2018-09-06,2019-08-29,"DC-DC 컨버터(전압변환장치) 부품의 생산 설비관리가 부적절하여, 내부 기판의 납땜이 불충분 할 수 있으며, 이 경우 사용과정 상의 온도변화의 반복으로 인해 납땜이 손상될 가능성이 있음."
현대자동차(주),G90 (HI PE),2018-11-13,2019-05-15,2019-07-19,스마트 크루즈 컨트롤 작동시 특정 주행 도로의 코너 곡률 정보 처리 가능 용량 초과로 소프트웨어 오류 발생하여 크루즈컨트롤 기능 해제 되지 않아 스마트 크루즈 가감속 제어 및 차간 거리 유지가 되지 않는 현상 발생
현대자동차(주),EQ900(HI),2015-08-20,2017-12-29,2019-07-19,3.3LT-GDI 가솔린 엔진 장착 일부 차량에서 터보차저 오일 공급 파이프 연결부 기밀력 저하로 누유 발생
현대자동차(주),G80(DH),2016-06-08,2017-12-29,2019-07-19,3.3LT-GDI 가솔린 엔진 장착 일부 차량에서 터보차저 오일 공급 파이프 연결부 기밀력 저하로 누유 발생
한국지엠주식회사,올뉴 말리부,2018-03-05,2018-07-03,2019-07-26,운전석 휠 방향의 드라이브 샤프트의 열처리 과정에서 냉각 장비의 관리 문제로 일부 부분에 냉각수가 방사되지 않아 내구성이 충분히 확보되지 않은 상태로 가공되어 주행 중 운전석 휠 방향의 드라이브 샤프트가 파손될 가능성이 있음.
기아자동차(주),K5(JF),2018-01-15,2019-05-21,2019-08-02,"다기능 카메라(MFC)와 전방 충돌방지 제어기(FCA ECU)간 소프트웨어 오류로 전방 정지 차량 충돌 위험 상황 시 긴급제동 기능 미작동 ※ 전방 충돌방지 보조(FCA) : 주행 중 전방 장애물과의 충돌을 피하거나 충돌 위험을 줄여주기 위한 목적으로 운전자에게 위험을 경고하고 차량의 제동을 제어하여 운전자/차량 피해 경감하는 주행안전 보조 시스템 ※ 다기능카메라(MFC) : 차량의 전방에 부착되어 추돌, 차선이탈 등을 예측하여 사고를 미연에 방지 기능의 카메라"
비엠더블유코리아(주),BMW 320d ED,2010-12-10,2010-12-10,2019-07-30,대상차량은 양산 전 생산 모델로 모터쇼 출품 및 신차 판매 전 이벤트 행사 등 제한된 용도로 생산된 차량입니다. 이에 따라 실제 양산 차량과 어떠한 부분이 다른지 상세 내용 확인이 불가하여 결함이 있는 구조장치를 정확히 찾기 어렵습니다. 재구매한 차량은 점검 후 BMW 본사로 반송합니다.
비엠더블유코리아(주),BMW 435d xDrive Gran Coupe,2014-03-13,2014-03-13,2019-07-30,대상차량은 양산 전 생산 모델로 모터쇼 출품 및 신차 판매 전 이벤트 행사 등 제한된 용도로 생산된 차량입니다. 이에 따라 실제 양산 차량과 어떠한 부분이 다른지 상세 내용 확인이 불가하여 결함이 있는 구조장치를 정확히 찾기 어렵습니다. 재구매한 차량은 점검 후 BMW 본사로 반송합니다.
비엠더블유코리아(주),BMW 520d Touring,2012-03-29,2012-03-29,2019-07-30,대상차량은 양산 전 생산 모델로 모터쇼 출품 및 신차 판매 전 이벤트 행사 등 제한된 용도로 생산된 차량입니다. 이에 따라 실제 양산 차량과 어떠한 부분이 다른지 상세 내용 확인이 불가하여 결함이 있는 구조장치를 정확히 찾기 어렵습니다. 재구매한 차량은 점검 후 BMW 본사로 반송합니다.
비엠더블유코리아(주),BMW 520d xDrive,2013-05-07,2013-05-07,2019-07-30,대상차량은 양산 전 생산 모델로 모터쇼 출품 및 신차 판매 전 이벤트 행사 등 제한된 용도로 생산된 차량입니다. 이에 따라 실제 양산 차량과 어떠한 부분이 다른지 상세 내용 확인이 불가하여 결함이 있는 구조장치를 정확히 찾기 어렵습니다. 재구매한 차량은 점검 후 BMW 본사로 반송합니다.
비엠더블유코리아(주),BMW 525d,2013-05-08,2013-05-08,2019-07-30,대상차량은 양산 전 생산 모델로 모터쇼 출품 및 신차 판매 전 이벤트 행사 등 제한된 용도로 생산된 차량입니다. 이에 따라 실제 양산 차량과 어떠한 부분이 다른지 상세 내용 확인이 불가하여 결함이 있는 구조장치를 정확히 찾기 어렵습니다. 재구매한 차량은 점검 후 BMW 본사로 반송합니다.
비엠더블유코리아(주),BMW 525d xDrive,2011-11-22,2011-11-22,2019-07-30,대상차량은 양산 전 생산 모델로 모터쇼 출품 및 신차 판매 전 이벤트 행사 등 제한된 용도로 생산된 차량입니다. 이에 따라 실제 양산 차량과 어떠한 부분이 다른지 상세 내용 확인이 불가하여 결함이 있는 구조장치를 정확히 찾기 어렵습니다. 재구매한 차량은 점검 후 BMW 본사로 반송합니다.
